City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,laguna,38.421,-121.4238,19.6,52,20,3.6,US,1681337124
270,yuncheng,35.0231,110.9928,15.18,75,99,1.31,CN,1681337124
271,szarvas,46.8667,20.55,6.67,86,49,3.22,HU,1681337124
272,irricana,51.3237,-113.6048,8.5,37,95,2.65,CA,1681336831
273,shahreza,32.0339,51.8794,16.67,46,100,1.76,IR,1681337125
274,nalut,30.3333,10.85,17.92,16,0,2.21,LY,1681337125
275,saint-francois,46.4154,3.9054,7.69,66,0,5.66,FR,1681336867
276,bull savanna,17.8868,-77.5902,26.64,67,32,3.02,JM,1681337126
277,cabo san lucas,22.8909,-109.9124,30.34,36,81,6.16,MX,1681336852
278,donghai,22.9459,115.642,21.3,77,100,2.4,CN,1681337126
279,bodden town,19.2833,-81.25,29.0,68,20,2.06,KY,1681336995
280,norman wells,65.282,-126.8329,1.02,51,75,3.6,CA,1681337127
281,chuy,-33.6971,-53.4616,17.78,84,98,5.0,UY,1681337127
282,upata,8.0086,-62.3989,30.11,39,93,4.17,VE,1681337043
283,olafsvik,64.8945,-23.7142,3.61,73,100,3.57,IS,1681337127
284,cap malheureux,-19.9842,57.6142,24.15,88,56,3.54,MU,1681337127
285,jambi,-1.6,103.6167,23.14,98,92,0.2,ID,1681337128
286,big bend,-26.8167,31.9333,22.54,93,88,1.74,SZ,1681336946
287,ram das,31.9661,74.9047,21.95,28,0,1.6,IN,1681337128
288,hervey bay,-25.2986,152.8535,22.57,68,0,7.35,AU,1681337128
289,kalabo,-14.97,22.6814,21.24,74,100,1.27,ZM,1681337128
290,bayir,37.2687,28.2167,7.29,84,18,0.87,TR,1681337129
291,ilulissat,69.2167,-51.1,-4.99,93,100,1.54,GL,1681337129
292,ulvik,60.5672,6.9187,6.17,72,100,3.66,NO,1681337129
293,kushmurun,52.4503,64.6311,6.44,52,13,2.25,KZ,1681337130
294,sao joao da barra,-21.6403,-41.0511,24.05,83,100,2.65,BR,1681337130
295,zhigansk,66.7697,123.3711,-22.0,100,100,1.74,RU,1681337130
296,nara,34.6851,135.8049,8.78,73,0,0.19,JP,1681337094
297,kokopo,-4.352,152.2633,25.62,88,100,5.29,PG,1681337131
298,salinopolis,-0.6136,-47.3561,26.14,87,93,3.34,BR,1681337048
299,balao,-2.9167,-79.8167,26.94,82,100,1.8,EC,1681337131
300,huarmey,-10.0681,-78.1522,25.72,77,97,3.88,PE,1681337131
301,okuchi,32.0667,130.6167,6.38,61,65,1.02,JP,1681337131
302,saldanha,-33.0117,17.9442,15.03,77,100,2.44,ZA,1681337131
303,asfi,32.2994,-9.2372,15.98,89,35,7.58,MA,1681337132
304,vrangel,42.7297,133.0839,3.92,60,6,0.87,RU,1681337132
305,jawhar,2.7809,45.5005,27.21,75,100,4.32,SO,1681337132
306,naze,28.3667,129.4833,16.51,71,55,4.57,JP,1681337133
307,yucca valley,34.1142,-116.4322,26.29,30,100,8.05,US,1681337133
308,ibara,34.6,133.4667,11.4,72,0,1.23,JP,1681337133
309,pasil,17.3833,121.1333,19.55,95,91,2.15,PH,1681337134
310,kidal,18.4411,1.4078,29.53,14,97,1.45,ML,1681337134
311,chateau-thierry,49.05,3.4,6.87,76,56,10.25,FR,1681337134
312,sao jose da coroa grande,-8.8978,-35.1478,25.88,84,83,3.69,BR,1681337134
313,fare,-16.7,-151.0167,27.87,68,34,3.51,PF,1681337134
314,karasjok,69.4719,25.5112,-7.48,92,43,2.42,NO,1681337134
315,creel,27.75,-107.6333,20.42,16,40,8.15,MX,1681337135
316,hamilton,39.1834,-84.5333,25.97,29,0,5.66,US,1681337135
317,farah,32.5,62.5,22.89,11,61,1.67,AF,1681337135
318,acapulco,16.8634,-99.8901,30.9,62,0,5.14,MX,1681337111
319,ubinskoye,55.3068,79.6802,2.02,74,100,5.36,RU,1681337135
320,la rinconada,37.4873,-5.9826,21.1,53,0,3.09,ES,1681337135
321,teguldet,57.3064,88.1667,-1.63,94,100,5.68,RU,1681337135
322,cutervo,-6.379,-78.8157,15.22,76,79,1.13,PE,1681337136
323,bathsheba,13.2167,-59.5167,27.34,69,20,7.2,BB,1681336978
324,ouesso,1.6136,16.0517,22.76,79,98,0.06,CG,1681337136
325,youhao,47.8667,128.8333,0.06,62,36,1.94,CN,1681337136
326,burns lake,54.2331,-125.7533,6.68,66,71,3.01,CA,1681337108
327,faya,18.3851,42.4509,16.06,65,9,3.75,SA,1681337136
328,punta alta,-38.8759,-62.0736,13.37,46,72,8.83,AR,1681336886
329,tiksi,71.6872,128.8694,-25.41,100,95,1.07,RU,1681337136
330,bandarbeyla,9.4942,50.8122,27.94,75,95,3.12,SO,1681337136
331,joensuu,62.6012,29.7632,0.27,68,0,4.12,FI,1681337137
332,avera,33.194,-82.5271,25.86,40,30,2.22,US,1681337101
333,hofn,64.2539,-15.2082,3.74,78,28,4.74,IS,1681337137
334,nemuro,43.3236,145.575,2.72,73,2,6.88,JP,1681337137
335,siuri,23.9167,87.5333,27.86,18,0,3.37,IN,1681337137
336,gorzow wielkopolski,52.7368,15.2288,9.62,62,86,3.83,PL,1681337137
337,tazovskiy,67.4667,78.7,-20.66,97,99,5.83,RU,1681337137
338,chapais,49.7834,-74.8492,2.88,75,56,1.87,CA,1681336978
339,boo,59.3333,18.2833,7.32,84,75,1.54,SE,1681337137
340,namibe,-15.1961,12.1522,23.08,68,49,3.78,AO,1681337137
341,vanavara,60.34,102.2797,-14.33,96,99,2.28,RU,1681337138
342,honningsvag,70.9821,25.9704,0.86,55,21,5.14,NO,1681337138
343,sao filipe,14.8961,-24.4956,22.59,77,20,2.89,CV,1681337138
344,aracaju,-10.9111,-37.0717,27.97,69,20,5.14,BR,1681337138
345,bosaso,11.2842,49.1816,29.25,65,91,1.49,SO,1681337138
